dates,y_true,y_pred
2024-11-01,119.2,119.104706
2024-12-01,119.0,119.0784
2025-01-01,119.9,119.04372
2025-02-01,120.3,119.32314
2025-03-01,119.9,119.3019
2025-04-01,119.5,119.20486
2025-05-01,119.0,119.15989
